customer_state,total_orders,delayed_orders,average_delay_days,average_review_score,delay_rate_percentage,customer_impact_score,delay_rate,delay_duration,order_volume,customer_impact,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
PB,517,57,-12.599502337201805,4.076171875,11.02514506769826,18.4765625,38.693330534123845,62.08000701250717,1.1764705882352942,18.4765625,34.00411245942339,Low,delivery,99.3646,100.0,100.0,99.68
RN,474,51,-12.962349073097359,4.149681528662421,10.759493670886076,17.006369426751586,37.43125745710877,59.06756782429947,1.0701927829955513,17.006369426751586,32.50438890953023,Low,delivery,99.3646,100.0,100.0,99.68
GO,1957,160,-11.483576536743692,4.10431654676259,8.175779253960142,17.913669064748206,25.15638729482857,71.34468622792036,4.735541275333663,17.913669064748206,31.532885089690485,Low,delivery,99.3646,100.0,100.0,99.68
DF,2080,147,-11.339524695067663,4.133816425120773,7.0673076923076925,17.323671497584545,19.890192080400638,72.54063859587352,5.039545229856649,17.323671497584545,29.69769625173765,Low,delivery,99.3646,100.0,100.0,99.68
MG,11354,637,-12.539233555518042,4.19246787771378,5.61035758323058,16.150642445724408,12.968423441930327,62.58037265399929,27.96094908551656,16.150642445724408,28.84724872423393,Low,delivery,99.3646,100.0,100.0,99.68
RR,41,5,-16.594597730352305,3.902439024390244,12.195121951219512,21.951219512195124,44.251729033590934,28.911782711823676,0.0,21.951219512195124,28.22132021822156,Low,delivery,99.3646,100.0,100.0,99.68
RS,5345,382,-13.208488747331726,4.1857518302984795,7.14686623012161,16.28496339403041,20.268163699697716,57.02405819038693,13.109243697478993,16.28496339403041,27.42787327607618,Low,delivery,99.3646,100.0,100.0,99.68
PR,4923,246,-12.61967811472604,4.239591836734694,4.996953077391835,15.208163265306125,10.05422339845699,61.912502948521144,12.066238260009886,15.208163265306125,24.194287238310977,Low,delivery,99.3646,100.0,100.0,99.68
MT,886,60,-13.685549742391942,4.146188850967008,6.772009029345373,17.076222980659832,18.48726893873621,53.06338528220228,2.0884824518042513,17.076222980659832,23.63988383350488,Low,delivery,99.3646,100.0,100.0,99.68
AP,67,3,-19.05942267827529,4.242424242424242,4.477611940298507,15.151515151515154,7.586905421675231,8.448224601347711,0.06426099851705389,15.151515151515154,7.432397791437705,Low,delivery,99.3646,100.0,100.0,99.68
AM,145,6,-18.85181696998723,4.243055555555555,4.137931034482759,15.138888888888893,5.9731283772080275,10.171816160739857,0.25704399406821554,15.138888888888893,7.254447523215152,Low,delivery,99.3646,100.0,100.0,99.68
AC,80,3,-20.077006944444445,4.0875,3.75,18.249999999999993,4.130121638924455,0.0,0.09639149777558083,18.249999999999993,4.408826955124897,Low,delivery,99.3646,100.0,100.0,99.68
RO,243,7,-19.396826417466848,4.1652892561983474,2.880658436213992,16.69421487603305,0.0,5.647019173166506,0.49925852694018785,16.69421487603305,4.015738730084622,Low,delivery,99.3646,100.0,100.0,99.68
