rank,opportunity_id,opportunity_name,opportunity_type,opportunity_score,opportunity_level,confidence_score
23,seller_a1043bafd471dff536d0c462352beb48,a1043bafd471dff536d0c462352beb48,seller,50.05242161407836,Medium,99.68
24,seller_620c87c171fb2a6dd6e8bb4dec959fc6,620c87c171fb2a6dd6e8bb4dec959fc6,seller,49.328259447434206,Low,99.68
25,delivery_SE,SE,delivery,49.18901530623819,Low,99.68
26,delivery_CE,CE,delivery,48.12098621671716,Low,99.68
27,delivery_SP,SP,delivery,48.11211484569132,Low,99.68
28,delivery_RJ,RJ,delivery,48.04576436781648,Low,99.68
29,customer_763c8b1c9c68a0229c42c9fc6f662b93,763c8b1c9c68a0229c42c9fc6f662b93,customer,48.00216400415333,Low,70.68
30,delivery_PI,PI,delivery,47.71030840778942,Low,99.68
31,seller_46dc3b2cc0980fb8ec44634e21d2718e,46dc3b2cc0980fb8ec44634e21d2718e,seller,47.469791128578194,Low,99.68
32,customer_8d50f5eadf50201ccdcedfb9e2ac8455,8d50f5eadf50201ccdcedfb9e2ac8455,customer,47.37713007383501,Low,84.68
33,product_informatica_acessorios,informatica_acessorios,product,47.33481524102056,Low,99.68
34,customer_459bef486812aa25204be022145caa62,459bef486812aa25204be022145caa62,customer,46.89017202348732,Low,70.68
35,delivery_BA,BA,delivery,46.70727196829508,Low,99.68
36,seller_7d13fca15225358621be4086e1eb0964,7d13fca15225358621be4086e1eb0964,seller,46.10290414433935,Low,99.68
37,seller_ea8482cd71df3c1969d7b9473ff13abc,ea8482cd71df3c1969d7b9473ff13abc,seller,46.023543118907455,Low,99.68
38,seller_5dceca129747e92ff8ef7a997dc4f8ca,5dceca129747e92ff8ef7a997dc4f8ca,seller,43.19054688722186,Low,99.68
39,delivery_ES,ES,delivery,42.83128648273328,Low,99.68
40,seller_cca3071e3e9bb7d12640c9fbe2301306,cca3071e3e9bb7d12640c9fbe2301306,seller,42.80994921266942,Low,99.68
41,seller_f8db351d8c4c4c22c6835c19a46f01b0,f8db351d8c4c4c22c6835c19a46f01b0,seller,41.26531837307731,Low,99.68
42,product_utilidades_domesticas,utilidades_domesticas,product,40.43097213795288,Low,99.68
43,seller_8b321bb669392f5163d04c59e235e066,8b321bb669392f5163d04c59e235e066,seller,40.268333930629645,Low,99.68
44,seller_16090f2ca825584b5a147ab24aa30c86,16090f2ca825584b5a147ab24aa30c86,seller,39.978746304103254,Low,99.68
45,seller_f7ba60f8c3f99e7ee4042fdef03b70c4,f7ba60f8c3f99e7ee4042fdef03b70c4,seller,39.92640057188572,Low,99.68
46,customer_c8460e4251689ba205045f3ea17884a1,c8460e4251689ba205045f3ea17884a1,customer,39.64723951453785,Low,73.68
47,delivery_MS,MS,delivery,39.50709231206254,Low,99.68
48,seller_e9779976487b77c6d4ac45f75ec7afe9,e9779976487b77c6d4ac45f75ec7afe9,seller,39.41473414463773,Low,99.68
49,delivery_TO,TO,delivery,39.3810309742196,Low,99.68
50,seller_85d9eb9ddc5d00ca9336a2219c97bb13,85d9eb9ddc5d00ca9336a2219c97bb13,seller,39.13682489450909,Low,99.68
51,seller_fe2032dab1a61af8794248c8196565c9,fe2032dab1a61af8794248c8196565c9,seller,38.99716596421311,Low,99.68
52,seller_53e4c6e0f4312d4d2107a8c9cddf45cd,53e4c6e0f4312d4d2107a8c9cddf45cd,seller,38.7889985115389,Low,99.68
53,seller_7aa4334be125fcdd2ba64b3180029f14,7aa4334be125fcdd2ba64b3180029f14,seller,38.753657118828954,Low,99.68
54,seller_edb1ef5e36e0c8cd84eb3c9b003e486d,edb1ef5e36e0c8cd84eb3c9b003e486d,seller,38.203542600065724,Low,99.68
55,seller_d91fb3b7d041e83b64a00a3edfb37e4f,d91fb3b7d041e83b64a00a3edfb37e4f,seller,38.042897329946186,Low,99.68
56,seller_8581055ce74af1daba164fdbd55a40de,8581055ce74af1daba164fdbd55a40de,seller,37.871667423381524,Low,99.68
57,seller_17e34d8224d27a541263c4c64b11a56b,17e34d8224d27a541263c4c64b11a56b,seller,37.54627116094585,Low,99.68
58,seller_4d6d651bd7684af3fffabd5f08d12e5a,4d6d651bd7684af3fffabd5f08d12e5a,seller,37.46263601418907,Low,99.68
59,seller_77530e9772f57a62c906e1c21538ab82,77530e9772f57a62c906e1c21538ab82,seller,37.458552288151,Low,99.68
60,customer_edde2314c6c30e864a128ac95d6b2112,edde2314c6c30e864a128ac95d6b2112,customer,37.439667927427024,Low,70.68
61,seller_391fc6631aebcf3004804e51b40bcf1e,391fc6631aebcf3004804e51b40bcf1e,seller,37.10733562414301,Low,99.68
62,seller_4e922959ae960d389249c378d1c939f5,4e922959ae960d389249c378d1c939f5,seller,37.09755903758773,Low,99.68
63,customer_48e1ac109decbb87765a3eade6854098,48e1ac109decbb87765a3eade6854098,customer,36.91205017440964,Low,70.68
64,seller_d2374cbcbb3ca4ab1086534108cc3ab7,d2374cbcbb3ca4ab1086534108cc3ab7,seller,36.77207833254136,Low,99.68
65,customer_4007669dec559734d6f53e029e360987,4007669dec559734d6f53e029e360987,customer,36.659651078898484,Low,70.68
66,delivery_SC,SC,delivery,36.65243596128451,Low,99.68
67,seller_218d46b86c1881d022bce9c68a7d4b15,218d46b86c1881d022bce9c68a7d4b15,seller,36.578162941592765,Low,99.68
68,seller_c003204e1ab016dfa150abc119207b24,c003204e1ab016dfa150abc119207b24,seller,36.452008463641384,Low,99.68
69,seller_de722cd6dad950a92b7d4f82673f8833,de722cd6dad950a92b7d4f82673f8833,seller,36.270578791694795,Low,99.68
70,seller_ccc4bbb5f32a6ab2b7066a4130f114e3,ccc4bbb5f32a6ab2b7066a4130f114e3,seller,36.01822015907448,Low,99.68
71,seller_b2ba3715d723d245138f291a6fe42594,b2ba3715d723d245138f291a6fe42594,seller,36.00676278647715,Low,99.68
72,seller_c826c40d7b19f62a09e2d7c5e7295ee2,c826c40d7b19f62a09e2d7c5e7295ee2,seller,35.9337246830776,Low,99.68
73,seller_06a2c3af7b3aee5d69171b0e14f0ee87,06a2c3af7b3aee5d69171b0e14f0ee87,seller,35.91118656647237,Low,99.68
74,customer_ca27f3dac28fb1063faddd424c9d95fa,ca27f3dac28fb1063faddd424c9d95fa,customer,35.86233762189453,Low,70.68
75,delivery_PA,PA,delivery,35.633394969628185,Low,99.68
76,seller_7ddcbb64b5bc1ef36ca8c151f6ec77df,7ddcbb64b5bc1ef36ca8c151f6ec77df,seller,35.53241976099814,Low,99.68
77,customer_a229eba70ec1c2abef51f04987deb7a5,a229eba70ec1c2abef51f04987deb7a5,customer,35.37125897000973,Low,70.68
78,seller_8160255418d5aaa7dbdc9f4c64ebda44,8160255418d5aaa7dbdc9f4c64ebda44,seller,35.294212730110296,Low,99.68
79,seller_c3cfdc648177fdbbbb35635a37472c53,c3cfdc648177fdbbbb35635a37472c53,seller,34.89084385924849,Low,99.68
80,seller_37be5a7c751166fbc5f8ccba4119e043,37be5a7c751166fbc5f8ccba4119e043,seller,34.71522523507565,Low,99.68
81,seller_dbc22125167c298ef99da25668e1011f,dbc22125167c298ef99da25668e1011f,seller,34.50634736681704,Low,99.68
82,seller_1835b56ce799e6a4dc4eddc053f04066,1835b56ce799e6a4dc4eddc053f04066,seller,34.38371556188919,Low,99.68
83,customer_ff4159b92c40ebe40454e3e6a7c35ed6,ff4159b92c40ebe40454e3e6a7c35ed6,customer,34.124941108075035,Low,70.68
84,delivery_PE,PE,delivery,34.06504997974346,Low,99.68
85,delivery_PB,PB,delivery,34.00411245942339,Low,99.68
86,seller_9f505651f4a6abe901a56cdc21508025,9f505651f4a6abe901a56cdc21508025,seller,33.846157016618086,Low,99.68
87,customer_58483a1c055dfb600f57c5b867174542,58483a1c055dfb600f57c5b867174542,customer,33.82771985496847,Low,70.68
88,seller_ceaec5548eefc6e23e6607c5435102e7,ceaec5548eefc6e23e6607c5435102e7,seller,33.787782182374634,Low,99.68
89,seller_2eb70248d66e0e3ef83659f71b244378,2eb70248d66e0e3ef83659f71b244378,seller,33.763383487569854,Low,99.68
90,seller_0241d4d5d36f10f80c644447315af0bd,0241d4d5d36f10f80c644447315af0bd,seller,33.739881903124456,Low,99.68
91,product_telefonia,telefonia,product,33.68880324474509,Low,99.68
92,customer_da122df9eeddfedc1dc1f5349a1a690c,da122df9eeddfedc1dc1f5349a1a690c,customer,33.66863260091686,Low,71.68
93,seller_1554a68530182680ad5c8b042c3ab563,1554a68530182680ad5c8b042c3ab563,seller,33.62302116706751,Low,99.68
94,seller_522620dcb18a6b31cd7bdf73665113a9,522620dcb18a6b31cd7bdf73665113a9,seller,33.53529342226254,Low,99.68
95,seller_7ad32824caee82087b3e2e5f33b1bf32,7ad32824caee82087b3e2e5f33b1bf32,seller,33.48853223909478,Low,99.68
96,seller_1900267e848ceeba8fa32d80c1a5f5a8,1900267e848ceeba8fa32d80c1a5f5a8,seller,33.401294915615715,Low,99.68
97,seller_128639473a139ac0f3e5f5ade55873a5,128639473a139ac0f3e5f5ade55873a5,seller,33.40115413896256,Low,99.68
98,seller_25c5c91f63607446a97b143d2d535d31,25c5c91f63607446a97b143d2d535d31,seller,33.36261410559035,Low,99.68
99,seller_7142540dd4c91e2237acb7e911c4eba2,7142540dd4c91e2237acb7e911c4eba2,seller,33.33827730832794,Low,99.68
100,seller_04308b1ee57b6625f47df1d56f00eedf,04308b1ee57b6625f47df1d56f00eedf,seller,33.307026573709976,Low,99.68
101,seller_7299e27ed73d2ad986de7f7c77d919fa,7299e27ed73d2ad986de7f7c77d919fa,seller,33.266856431933036,Low,99.68
102,seller_f5a590cf36251cf1162ea35bef76fe84,f5a590cf36251cf1162ea35bef76fe84,seller,33.19581428060829,Low,99.68
103,customer_ce3fe361f9e68bf0a813baaae1334d01,ce3fe361f9e68bf0a813baaae1334d01,customer,33.09588297223507,Low,70.68
104,customer_f0767ae738c3d90e7b737d7b8b8bb4d1,f0767ae738c3d90e7b737d7b8b8bb4d1,customer,33.017563774985504,Low,70.68
105,seller_87142160b41353c4e5fca2360caf6f92,87142160b41353c4e5fca2360caf6f92,seller,32.7551733175764,Low,99.68
106,seller_634964b17796e64304cadf1ad3050fb7,634964b17796e64304cadf1ad3050fb7,seller,32.72610749633347,Low,99.68
107,customer_3e43e6105506432c953e165fb2acf44c,3e43e6105506432c953e165fb2acf44c,customer,32.72029830882726,Low,78.68
108,product_automotivo,automotivo,product,32.69807260292237,Low,99.68
109,seller_e9bc59e7b60fc3063eb2290deda4cced,e9bc59e7b60fc3063eb2290deda4cced,seller,32.64472016019872,Low,99.68
110,delivery_RN,RN,delivery,32.50438890953023,Low,99.68
111,customer_fa562ef24d41361e476e748681810e1e,fa562ef24d41361e476e748681810e1e,customer,32.487506488227915,Low,70.68
112,product_cool_stuff,cool_stuff,product,32.41015869489054,Low,99.68
113,seller_850f4f8af5ea87287ac68de36e29107f,850f4f8af5ea87287ac68de36e29107f,seller,32.39318124300976,Low,99.68
114,seller_2138ccb85b11a4ec1e37afbd1c8eda1f,2138ccb85b11a4ec1e37afbd1c8eda1f,seller,32.38024604690297,Low,99.68
115,seller_855668e0971d4dfd7bef1b6a4133b41b,855668e0971d4dfd7bef1b6a4133b41b,seller,32.35832241199867,Low,99.68
116,seller_7178f9f4dd81dcef02f62acdf8151e01,7178f9f4dd81dcef02f62acdf8151e01,seller,32.1991264447864,Low,99.68
117,customer_95a744604de66a2e40e18086e69be4f2,95a744604de66a2e40e18086e69be4f2,customer,32.16783505262268,Low,70.68
118,seller_70a12e78e608ac31179aea7f8422044b,70a12e78e608ac31179aea7f8422044b,seller,32.15793864883456,Low,99.68
119,seller_c3867b4666c7d76867627c2f7fb22e21,c3867b4666c7d76867627c2f7fb22e21,seller,32.10853146490324,Low,99.68
120,customer_dc4802a71eae9be1dd28f5d788ceb526,dc4802a71eae9be1dd28f5d788ceb526,customer,32.10811148838417,Low,70.68
121,seller_c70c1b0d8ca86052f45a432a38b73958,c70c1b0d8ca86052f45a432a38b73958,seller,31.986942538328776,Low,99.68
122,customer_f886a3f43af9ac928fbb4b56436c528c,f886a3f43af9ac928fbb4b56436c528c,customer,31.95925208032588,Low,70.68
123,customer_dc813062e0fc23409cd255f7f53c7074,dc813062e0fc23409cd255f7f53c7074,customer,31.938812683749,Low,75.68
124,customer_46450c74a0d8c5ca9395da1daac6c120,46450c74a0d8c5ca9395da1daac6c120,customer,31.80605938747784,Low,70.68
125,seller_fa40cc5b934574b62717c68f3d678b6d,fa40cc5b934574b62717c68f3d678b6d,seller,31.71587596970735,Low,99.68
126,seller_a3a38f4affed601eb87a97788c949667,a3a38f4affed601eb87a97788c949667,seller,31.64998384715137,Low,99.68
127,customer_ca77025e7201e3b30c44b472ff346268,ca77025e7201e3b30c44b472ff346268,customer,31.64429704864069,Low,76.68
128,seller_88460e8ebdecbfecb5f9601833981930,88460e8ebdecbfecb5f9601833981930,seller,31.59898719792676,Low,99.68
129,delivery_GO,GO,delivery,31.532885089690485,Low,99.68
130,seller_640e21a7d01df7614a3b4923e990d40c,640e21a7d01df7614a3b4923e990d40c,seller,31.439546568983726,Low,99.68
131,seller_5656537e588803a555b8eb41f07a944b,5656537e588803a555b8eb41f07a944b,seller,31.40423360806684,Low,99.68
132,seller_897060da8b9a21f655304d50fd935913,897060da8b9a21f655304d50fd935913,seller,31.378573231611803,Low,99.68
133,seller_17f51e7198701186712e53a39c564617,17f51e7198701186712e53a39c564617,seller,31.345333511680213,Low,99.68
134,seller_b33e7c55446eabf8fe1a42d037ac7d6d,b33e7c55446eabf8fe1a42d037ac7d6d,seller,31.286817119506463,Low,99.68
135,customer_6469f99c1f9dfae7733b25662e7f1782,6469f99c1f9dfae7733b25662e7f1782,customer,31.278559821577858,Low,76.68
136,seller_e882b2a25a10b9c057cc49695f222c19,e882b2a25a10b9c057cc49695f222c19,seller,31.22685075296256,Low,99.68
137,seller_17a053fcb14bd219540cbde0df490be0,17a053fcb14bd219540cbde0df490be0,seller,31.201839755939815,Low,99.68
138,seller_966cb4760537b1404caedd472cc610a5,966cb4760537b1404caedd472cc610a5,seller,31.161573515930474,Low,99.68
139,seller_4c2b230173bb36f9b240f2b8ac11786e,4c2b230173bb36f9b240f2b8ac11786e,seller,31.088493092089934,Low,99.68
140,seller_eeb6de78f79159600292e314a77cbd18,eeb6de78f79159600292e314a77cbd18,seller,30.926686597234173,Low,99.68
141,seller_8d956fec2e4337affcb520f56fd8cbfd,8d956fec2e4337affcb520f56fd8cbfd,seller,30.900028061440004,Low,99.68
142,customer_3fec1a05177762f279472253113d568a,3fec1a05177762f279472253113d568a,customer,30.749766299406836,Low,70.68
143,customer_9b11e010850a4045d2da80c7783fdbd1,9b11e010850a4045d2da80c7783fdbd1,customer,30.74884472265157,Low,70.68
144,seller_0b90b6df587eb83608a64ea8b390cf07,0b90b6df587eb83608a64ea8b390cf07,seller,30.719959025642908,Low,99.68
145,seller_48efc9d94a9834137efd9ea76b065a38,48efc9d94a9834137efd9ea76b065a38,seller,30.647429577524676,Low,99.68
146,seller_712e6ed8aa4aa1fa65dab41fed5737e4,712e6ed8aa4aa1fa65dab41fed5737e4,seller,30.645791943862726,Low,99.68
147,seller_01fdefa7697d26ad920e9e0346d4bd1b,01fdefa7697d26ad920e9e0346d4bd1b,seller,30.570006932401803,Low,99.68
148,customer_adfa1cab2b2c8706db21bb13c0a1beb1,adfa1cab2b2c8706db21bb13c0a1beb1,customer,30.555020146535917,Low,70.68
149,customer_4facc2e6fbc2bffab2fea92d2b4aa7e4,4facc2e6fbc2bffab2fea92d2b4aa7e4,customer,30.53933093527861,Low,73.68
150,seller_dc4a0fc896dc34b0d5bfec8438291c80,dc4a0fc896dc34b0d5bfec8438291c80,seller,30.501525031285006,Low,99.68
151,seller_2528513dd95219a6013d4d05176e391a,2528513dd95219a6013d4d05176e391a,seller,30.48114916063433,Low,99.68
152,customer_5e92460d739e8dd987e279285a1d278c,5e92460d739e8dd987e279285a1d278c,customer,30.441921129515553,Low,70.68
153,seller_001cca7ae9ae17fb1caed9dfb1094831,001cca7ae9ae17fb1caed9dfb1094831,seller,30.39657259617992,Low,99.68
154,seller_2bf6a2c1e71bbd29a4ad64e6d3c3629f,2bf6a2c1e71bbd29a4ad64e6d3c3629f,seller,30.366180331622104,Low,99.68
155,seller_1da3aeb70d7989d1e6d9b0e887f97c23,1da3aeb70d7989d1e6d9b0e887f97c23,seller,30.35400267453916,Low,99.68
156,customer_be825ddd3b40db3f91bf05b4e9435d56,be825ddd3b40db3f91bf05b4e9435d56,customer,30.351684208881032,Low,70.68
157,seller_d1c281d3ae149232351cd8c8cc885f0d,d1c281d3ae149232351cd8c8cc885f0d,seller,30.351055172840976,Low,99.68
158,customer_2c3b08cf3584d8c0a81d9618a73aa219,2c3b08cf3584d8c0a81d9618a73aa219,customer,30.182709064077752,Low,70.68
159,customer_fe81bb32c243a86b2f86fbf053fe6140,fe81bb32c243a86b2f86fbf053fe6140,customer,30.178282474649816,Low,74.68
160,seller_8f2ce03f928b567e3d56181ae20ae952,8f2ce03f928b567e3d56181ae20ae952,seller,30.12566397324048,Low,99.68
161,seller_ef506c96320abeedfb894c34db06f478,ef506c96320abeedfb894c34db06f478,seller,30.076726956570297,Low,99.68
162,seller_213b25e6f54661939f11710a6fddb871,213b25e6f54661939f11710a6fddb871,seller,30.0689838556727,Low,99.68
163,customer_1b76903617af13189607a36b0469f6f3,1b76903617af13189607a36b0469f6f3,customer,30.05674693238322,Low,70.68
164,customer_f140f377d666848e3712b51a2734d120,f140f377d666848e3712b51a2734d120,customer,30.049214257145284,Low,70.68
165,seller_cab85505710c7cb9b720bceb52b01cee,cab85505710c7cb9b720bceb52b01cee,seller,29.970422628723277,Low,99.68
166,seller_92eb0f42c21942b6552362b9b114707d,92eb0f42c21942b6552362b9b114707d,seller,29.92827282438627,Low,99.68
167,seller_76d5af76d0271110f9af36c92573f765,76d5af76d0271110f9af36c92573f765,seller,29.87407500278975,Low,99.68
168,seller_ba90964cff9b9e0e6f32b23b82465f7b,ba90964cff9b9e0e6f32b23b82465f7b,seller,29.849095842045063,Low,99.68
169,seller_4b9750c8ad28220fe6702d4ecb7c898f,4b9750c8ad28220fe6702d4ecb7c898f,seller,29.841822376454623,Low,99.68
170,customer_fff5eb4918b2bf4b2da476788d42051c,fff5eb4918b2bf4b2da476788d42051c,customer,29.8219330495603,Low,70.68
171,seller_f457c46070d02cadd8a68551231220dd,f457c46070d02cadd8a68551231220dd,seller,29.800759379690785,Low,99.68
172,seller_710e3548e02bc1d2831dfc4f1b5b14d4,710e3548e02bc1d2831dfc4f1b5b14d4,seller,29.783830163946647,Low,99.68
173,seller_9c0e69c7bf2619675bbadf47b43f655a,9c0e69c7bf2619675bbadf47b43f655a,seller,29.78248965468493,Low,99.68
174,seller_d6b1ce66b035a475f00c017792ff9769,d6b1ce66b035a475f00c017792ff9769,seller,29.779570073563686,Low,99.68
175,seller_834f3294fba9f932f56edc879193f925,834f3294fba9f932f56edc879193f925,seller,29.726496920628684,Low,99.68
176,seller_66922902710d126a0e7d26b0e3805106,66922902710d126a0e7d26b0e3805106,seller,29.722310889757672,Low,99.68
177,delivery_DF,DF,delivery,29.69769625173765,Low,99.68
178,seller_12b9676b00f60f3b700e83af21824c0e,12b9676b00f60f3b700e83af21824c0e,seller,29.696376566814582,Low,99.68
179,seller_b499c00f28f4b7069ff6550af8c1348a,b499c00f28f4b7069ff6550af8c1348a,seller,29.66051593541905,Low,99.68
180,seller_06e5eefc71ec47ae763c5c6f8db7064f,06e5eefc71ec47ae763c5c6f8db7064f,seller,29.62358419212787,Low,99.68
181,seller_a416b6a846a11724393025641d4edd5e,a416b6a846a11724393025641d4edd5e,seller,29.589349083738956,Low,99.68
182,seller_530ec6109d11eaaf87999465c6afee01,530ec6109d11eaaf87999465c6afee01,seller,29.57112921842588,Low,99.68
183,customer_02ccceb879088a0253e1e46e0200bdb8,02ccceb879088a0253e1e46e0200bdb8,customer,29.52078012834595,Low,70.68
184,seller_b839e41795b7f3ad94cc2014a52f6796,b839e41795b7f3ad94cc2014a52f6796,seller,29.47010720052573,Low,99.68
185,seller_2a84855fd20af891be03bc5924d2b453,2a84855fd20af891be03bc5924d2b453,seller,29.426823721986064,Low,99.68
186,seller_70eea00b476a314817cefde4aad4f89a,70eea00b476a314817cefde4aad4f89a,seller,29.425499683832665,Low,99.68
187,customer_bbeb907759ef5fc169099af3c88d535d,bbeb907759ef5fc169099af3c88d535d,customer,29.411795807762168,Low,70.68
188,seller_080102cd0a76b09e0dcf55fcacc60e05,080102cd0a76b09e0dcf55fcacc60e05,seller,29.389658766293476,Low,99.68
189,seller_36a968b544695394e4e9d7572688598f,36a968b544695394e4e9d7572688598f,seller,29.367063534592745,Low,99.68
190,seller_7e1fb0a3ebfb01ffb3a7dae98bf3238d,7e1fb0a3ebfb01ffb3a7dae98bf3238d,seller,29.353492253223706,Low,99.68
191,customer_bc5e25094a7d51b6aee35236572e64f4,bc5e25094a7d51b6aee35236572e64f4,customer,29.344786464965622,Low,70.68
192,seller_59b22a78efb79a4797979612b885db36,59b22a78efb79a4797979612b885db36,seller,29.33401903337016,Low,99.68
193,seller_1c68394e931a64f90ea236c5ea590300,1c68394e931a64f90ea236c5ea590300,seller,29.33382951838755,Low,99.68
194,seller_1a3df491d1c4f1589fc2b934ada68bf2,1a3df491d1c4f1589fc2b934ada68bf2,seller,29.31851913616333,Low,99.68
195,customer_8e07cbdbbb24328ece74135e2a81405b,8e07cbdbbb24328ece74135e2a81405b,customer,29.317584340532935,Low,70.68
196,seller_de23c3b98a88888289c6f5cc1209054a,de23c3b98a88888289c6f5cc1209054a,seller,29.300661515601327,Low,99.68
197,seller_5c243662ce92d84573bfaff24c3e3700,5c243662ce92d84573bfaff24c3e3700,seller,29.284818355658274,Low,99.68
198,customer_e6fad5b1c79a4760aac5068d09c46535,e6fad5b1c79a4760aac5068d09c46535,customer,29.255966686284495,Low,70.68
199,seller_0ea22c1cfbdc755f86b9b54b39c16043,0ea22c1cfbdc755f86b9b54b39c16043,seller,29.24452580492838,Low,99.68
200,seller_4830e40640734fc1c52cd21127c341d4,4830e40640734fc1c52cd21127c341d4,seller,29.20432148711465,Low,99.68
201,customer_6963ee67570e4454bf00b3e5fe52f734,6963ee67570e4454bf00b3e5fe52f734,customer,29.12391555265809,Low,70.68
202,seller_0c8380b62e38e8a1e6adbeba7eb9688c,0c8380b62e38e8a1e6adbeba7eb9688c,seller,29.114349874594975,Low,99.68
203,seller_41b39e28db005d9731d9d485a83b4c38,41b39e28db005d9731d9d485a83b4c38,seller,29.103223780738656,Low,99.68
204,customer_394ac4de8f3acb14253c177f0e15bc58,394ac4de8f3acb14253c177f0e15bc58,customer,29.086978313662787,Low,74.68
205,product_ferramentas_jardim,ferramentas_jardim,product,29.077187394386097,Low,99.68
206,seller_9e6229250fedbe05838fef417b74e7fb,9e6229250fedbe05838fef417b74e7fb,seller,29.0764116405961,Low,99.68
207,seller_f45122a9ab94eb4f3f8953578bc0c560,f45122a9ab94eb4f3f8953578bc0c560,seller,29.06371874899839,Low,99.68
208,seller_59417c56835dd8e2e72f91f809cd4092,59417c56835dd8e2e72f91f809cd4092,seller,29.05152369532044,Low,87.68
209,product_brinquedos,brinquedos,product,29.048913004620292,Low,99.68
210,customer_c7794313e2cd53472b116a751350f132,c7794313e2cd53472b116a751350f132,customer,28.982768176095856,Low,70.68
211,customer_397b44d5bb99eabf54ea9c2b41ebb905,397b44d5bb99eabf54ea9c2b41ebb905,customer,28.926931761518965,Low,73.68
212,customer_8a8ac60fd8ea25925f379a33ef277987,8a8ac60fd8ea25925f379a33ef277987,customer,28.92292117378891,Low,70.68
213,customer_85475e754525d6d222d917dbc8251801,85475e754525d6d222d917dbc8251801,customer,28.914073717493853,Low,70.68
214,seller_c31eff8334d6b3047ed34bebd4d62c36,c31eff8334d6b3047ed34bebd4d62c36,seller,28.907283109907887,Low,99.68
215,seller_acce39e832338debb07b02385cde5967,acce39e832338debb07b02385cde5967,seller,28.88413332800253,Low,99.68
216,customer_63cfc61cee11cbe306bff5857d00bfe4,63cfc61cee11cbe306bff5857d00bfe4,customer,28.881243146930217,Low,75.68
217,seller_900ba814c251a692506d7834c1218441,900ba814c251a692506d7834c1218441,seller,28.857527621840962,Low,99.68
218,seller_1b4c3a6f53068f0b6944d2d005c9fc89,1b4c3a6f53068f0b6944d2d005c9fc89,seller,28.856711380939597,Low,99.68
219,seller_c33847515fa6305ce6feb1e818569f13,c33847515fa6305ce6feb1e818569f13,seller,28.85206079711778,Low,99.68
220,seller_612170e34b97004b3ba37eae81836b4c,612170e34b97004b3ba37eae81836b4c,seller,28.851888175938,Low,99.68
221,delivery_MG,MG,delivery,28.84724872423393,Low,99.68
222,seller_0dd184061fb0eaa7ca37932c68ab91c5,0dd184061fb0eaa7ca37932c68ab91c5,seller,28.844040252497322,Low,99.68
223,seller_e59aa562b9f8076dd550fcddf0e73491,e59aa562b9f8076dd550fcddf0e73491,seller,28.804278985021014,Low,99.68
224,seller_562fc2f2c2863ab7e79a9e4388a58a14,562fc2f2c2863ab7e79a9e4388a58a14,seller,28.784927841429646,Low,99.68
